日期,河名,站名,水位,流量,含沙量
2008/1/1,黄河                          ,唐乃亥                        ,2670.51,180,-
2008/1/1,黄河                          ,龙羊峡入库,-,171,-
2008/1/1,黄河                          ,龙羊峡蓄水量,2584.93,(192)亿,-
2008/1/1,黄河                          ,龙羊峡出库,-,447,-
2008/1/1,黄河                          ,刘家峡入库,-,559,-
2008/1/1,黄河                          ,刘家峡蓄水量,1726.19,(29.5)亿,-
2008/1/1,黄河                          ,刘家峡出库,-,477,-
2008/1/1,黄河                          ,兰州                          ,1510.59,385,-
2008/1/1,黄河                          ,下河沿                        ,1229.46,634,-
2008/1/1,黄河                          ,石嘴山                        ,1085.62,630,-
2008/1/1,黄河                          ,巴彦高勒                      ,1052.53,448,-
2008/1/1,黄河                          ,三湖河口                      ,1018.7,530,-
2008/1/1,黄河                          ,包头                          ,-,-,-
2008/1/1,黄河                          ,头道拐                        ,987.78,242,-
2008/1/1,黄河                          ,万家寨蓄水量,973.96,(4.05)亿,-
2008/1/1,黄河                          ,万家寨上出库,-,308,-
2008/1/1,黄河                          ,万家寨下                      ,895.97,308,-
2008/1/1,黄河                          ,府谷                          ,807.91,117,-
2008/1/1,黄河                          ,吴堡                          ,636.07,177,*22.6
2008/1/1,黄河                          ,龙门                          ,381.79,127,*42.6
2008/1/1,汾河                          ,河津                          ,370.74,12,*0.661
2008/1/1,北洛河                        ,状头                          ,361.32,1.07,-
2008/1/1,泾河                          ,张家山                        ,420.36,2.05,-
2008/1/1,渭河                          ,咸阳                          ,381.35,38,-
2008/1/1,渭河                          ,华县(二)                      ,334.74,69,*11.5
2008/1/1,黄河                          ,潼关                          ,325.07,302,*22.4
2008/1/1,黄河                          ,史家滩蓄水量,317.43,(4.23)亿,-
2008/1/1,黄河                          ,三门峡                        ,272.34,160,*29.1
2008/1/1,黄河                          ,小浪底上蓄水量,251.31,(53.4)亿,-
2008/1/1,黄河                          ,小浪底                        ,133.77,1020,*77.6
2008/1/1,伊河                          ,东湾                          ,-,-,-
2008/1/1,伊河                          ,陆浑坝上蓄水量,309.44,(3.23)亿,-
